dataset	participant_id	classification	count
dset-camcan	sub-CC110098	rejected	19
dset-camcan	sub-CC110098	ignored	2
dset-camcan	sub-CC110101	accepted	6
dset-camcan	sub-CC110101	rejected	8
dset-camcan	sub-CC110101	ignored	0
dset-camcan	sub-CC110126	accepted	1
dset-camcan	sub-CC110126	rejected	6
dset-camcan	sub-CC110126	ignored	6
dset-camcan	sub-CC110174	accepted	2
dset-camcan	sub-CC110174	rejected	6
dset-camcan	sub-CC110174	ignored	3
dset-camcan	sub-CC110182	accepted	22
dset-camcan	sub-CC110182	rejected	11
dset-camcan	sub-CC110182	ignored	0
dset-camcan	sub-CC110319	accepted	0
dset-camcan	sub-CC110319	rejected	3
dset-camcan	sub-CC110319	ignored	5
dset-camcan	sub-CC110606	accepted	5
dset-camcan	sub-CC110606	rejected	6
dset-camcan	sub-CC110606	ignored	1
dset-camcan	sub-CC112141	accepted	0
dset-camcan	sub-CC112141	rejected	4
dset-camcan	sub-CC112141	ignored	7
dset-camcan	sub-CC120008	accepted	9
dset-camcan	sub-CC120008	rejected	4
dset-camcan	sub-CC120008	ignored	0
dset-camcan	sub-CC120049	accepted	2
dset-camcan	sub-CC120049	rejected	7
dset-camcan	sub-CC120049	ignored	1
dset-camcan	sub-CC120061	accepted	2
dset-camcan	sub-CC120061	rejected	6
dset-camcan	sub-CC120061	ignored	3
dset-camcan	sub-CC120065	accepted	3
dset-camcan	sub-CC120065	rejected	5
dset-camcan	sub-CC120065	ignored	1
dset-camcan	sub-CC120120	accepted	7
dset-camcan	sub-CC120120	rejected	8
dset-camcan	sub-CC120120	ignored	3
dset-camcan	sub-CC120123	accepted	15
dset-camcan	sub-CC120123	rejected	7
dset-camcan	sub-CC120123	ignored	0
dset-camcan	sub-CC120166	accepted	3
dset-camcan	sub-CC120166	rejected	4
dset-camcan	sub-CC120166	ignored	3
dset-camcan	sub-CC120182	accepted	2
dset-camcan	sub-CC120182	rejected	6
dset-camcan	sub-CC120182	ignored	1
dset-camcan	sub-CC120208	accepted	1
dset-camcan	sub-CC120208	rejected	8
dset-camcan	sub-CC120208	ignored	3
dset-camcan	sub-CC120218	accepted	4
dset-camcan	sub-CC120218	rejected	10
dset-camcan	sub-CC120218	ignored	1
