dataset	subject	Cortical Ribbon	Subcortical Nuclei	Cerebellum	Superficial WM	Deeper WM	Deepest WM	Superficial CSF	Deeper CSF
dset-camcan	sub-CC420173	12018	824	2479	8421	2982	2216	860	49
dset-camcan	sub-CC420180	11387	863	2732	8307	2984	1975	1062	207
dset-camcan	sub-CC420182	11909	838	2345	8799	3056	1757	987	526
dset-camcan	sub-CC420197	11593	875	2655	8352	3208	2186	967	229
dset-camcan	sub-CC420198	12953	982	2562	9621	3508	2939	828	49
dset-camcan	sub-CC420202	14580	1056	3023	9555	3395	2762	913	126
dset-camcan	sub-CC420204	11294	782	2439	7374	2533	1751	645	28
dset-camcan	sub-CC420217	13151	929	2641	8540	2931	2264	724	110
dset-camcan	sub-CC420222	11411	820	2437	7929	3053	2076	734	41
dset-camcan	sub-CC420226	10619	798	2404	8335	2868	1534	826	104
dset-camcan	sub-CC420229	11959	802	2164	7985	2585	1928	862	123
dset-camcan	sub-CC420231	11863	971	2848	8456	3025	2075	939	52
dset-camcan	sub-CC420236	14292	860	3275	10092	3723	2290	1194	280
dset-camcan	sub-CC420241	13420	912	2754	10583	3690	1970	1695	1490
dset-camcan	sub-CC420259	10082	728	2414	6719	2212	1558	679	42
dset-camcan	sub-CC420260	10064	840	2327	7622	2814	1879	895	365
dset-camcan	sub-CC420261	11597	939	2397	8371	2997	2304	840	62
dset-camcan	sub-CC420286	12246	1006	2731	9262	3142	2098	1116	166
dset-camcan	sub-CC420322	12589	855	2080	8633	2880	2084	1000	200
dset-camcan	sub-CC420324	10413	738	2241	7524	2483	1617	864	146
dset-camcan	sub-CC420348	11131	767	2453	7704	2691	1666	971	224
dset-camcan	sub-CC420356	11369	818	2831	8741	3207	2211	1302	696
dset-camcan	sub-CC420383	10918	760	2067	7279	2479	1494	845	105
dset-camcan	sub-CC420392	12491	819	2582	8422	2841	1806	946	189
dset-camcan	sub-CC420396	11914	851	2381	8619	3332	2937	996	67
dset-camcan	sub-CC420402	11620	873	2578	8311	2864	1711	1144	515
dset-camcan	sub-CC420412	12447	930	2831	9486	3159	1760	1182	214
dset-camcan	sub-CC420433	12269	954	2840	8850	3398	2631	783	35
dset-camcan	sub-CC420435	10596	752	2816	7466	2426	1497	740	33
dset-camcan	sub-CC420454	13033	1042	2657	9924	3601	2236	1381	924
dset-camcan	sub-CC420462	11890	877	2744	8722	3034	2118	1048	338
dset-camcan	sub-CC420464	10883	812	2457	8047	2829	1637	742	23
dset-camcan	sub-CC420493	11585	813	2316	8087	2958	2122	889	107
dset-camcan	sub-CC420566	11718	853	2422	8083	2913	2264	805	29
dset-camcan	sub-CC420582	13136	975	2846	9882	3492	2640	896	77
dset-camcan	sub-CC420587	12263	926	2307	8844	3210	2317	910	185
dset-camcan	sub-CC420589	13036	978	3037	9081	3616	2771	1004	463
dset-camcan	sub-CC420623	10827	771	2521	8040	2575	1177	1374	934
dset-camcan	sub-CC420729	10817	813	2578	7934	2806	2033	765	99
dset-camcan	sub-CC420776	10338	794	2490	7217	2761	2087	732	11
dset-camcan	sub-CC420888	11071	764	2290	7607	2386	1277	923	234
dset-camcan	sub-CC510015	11390	891	2403	7496	2621	1777	777	35
dset-camcan	sub-CC510039	11173	781	2712	7955	2944	1660	1122	458
dset-camcan	sub-CC510050	9903	717	2255	8257	3023	1737	986	293
dset-camcan	sub-CC510076	11147	964	2285	7848	2916	2222	912	122
dset-camcan	sub-CC510086	10479	770	2398	8151	2858	2127	942	143
dset-camcan	sub-CC510115	10009	819	2467	7696	2737	1820	729	19
dset-camcan	sub-CC510161	12013	979	2633	9904	3996	3044	1089	300
dset-camcan	sub-CC510163	10476	760	2156	7020	2145	1131	955	265
dset-camcan	sub-CC510208	12854	871	2732	8954	3178	1959	1000	240
dset-camcan	sub-CC510220	10781	814	2798	8353	2560	1154	1155	442
dset-camcan	sub-CC510226	12425	856	2427	9137	3478	2520	934	285
dset-camcan	sub-CC510237	11553	846	2428	9290	3373	1746	1106	290
dset-camcan	sub-CC510242	12033	876	2508	9181	3311	2024	992	115
dset-camcan	sub-CC510243	10426	910	2437	8813	3359	2225	1038	271
dset-camcan	sub-CC510255	10982	813	2628	7937	2840	1849	1000	227
dset-camcan	sub-CC510256	11792	991	2777	9587	3829	2470	1268	432
dset-camcan	sub-CC510258	13879	976	2762	8976	3530	2544	834	223
dset-camcan	sub-CC510259	10275	760	2621	8496	2838	1758	893	88
dset-camcan	sub-CC510284	9699	744	2020	7042	2317	1541	824	116
dset-camcan	sub-CC510304	12071	775	2489	8798	3090	1785	1005	188
dset-camcan	sub-CC510321	9573	748	2138	7316	2800	1955	825	113
dset-camcan	sub-CC510323	9889	811	2396	7906	2875	1749	918	199
dset-camcan	sub-CC510329	12579	925	2880	9033	3439	2537	947	426
dset-camcan	sub-CC510342	8595	787	2602	7552	2782	1924	806	75
dset-camcan	sub-CC510355	10534	766	2499	7884	2776	1781	719	152
dset-camcan	sub-CC510392	11428	854	2586	8571	3092	2542	816	56
dset-camcan	sub-CC510393	9290	870	2513	8004	2690	1252	1171	428
dset-camcan	sub-CC510395	10939	758	2352	8098	2799	1716	996	260
dset-camcan	sub-CC510415	10935	801	2604	7674	2469	1314	852	75
dset-camcan	sub-CC510433	9112	738	2425	6263	2210	1567	677	16
dset-camcan	sub-CC510434	9624	745	2674	7986	2939	2012	887	72
dset-camcan	sub-CC510438	11681	867	2122	8427	2901	1583	1106	353
dset-camcan	sub-CC510473	12364	868	2546	8112	2928	2129	805	377
dset-camcan	sub-CC510474	12244	918	2108	9362	3233	1756	1250	763
dset-camcan	sub-CC510480	9607	773	2093	7769	2542	1304	1056	586
dset-camcan	sub-CC510483	9038	773	2376	8124	2915	1723	931	261
dset-camcan	sub-CC510486	11079	872	2474	8406	3174	2378	712	83
dset-camcan	sub-CC510534	11661	794	2485	7671	2809	2171	741	20
dset-camcan	sub-CC510548	9846	731	2412	7985	2748	2018	796	93
dset-camcan	sub-CC510551	11135	792	2274	8126	2778	1773	1006	223
dset-camcan	sub-CC510568	12325	924	2482	9036	3209	2260	1077	266
dset-camcan	sub-CC510609	9323	695	2236	7182	2601	1922	747	51
dset-camcan	sub-CC510629	11641	798	2554	8092	2850	1813	861	236
dset-camcan	sub-CC510639	10603	867	2421	8933	3092	1559	999	151
dset-camcan	sub-CC510648	11314	823	2306	8709	3147	2155	976	166
dset-camcan	sub-CC512003	11708	877	2636	9477	3357	2280	1248	433
dset-camcan	sub-CC520002	11175	841	2523	7711	2673	1578	917	94
dset-camcan	sub-CC520011	12152	851	2372	8913	3494	2386	993	218
dset-camcan	sub-CC520013	10413	682	2417	7337	2433	1620	833	92
dset-camcan	sub-CC520042	12405	821	2867	9188	3098	1767	1138	331
dset-camcan	sub-CC520053	11328	794	2466	7738	2659	1677	883	126
dset-camcan	sub-CC520055	11186	850	2755	8343	2791	1675	914	225
dset-camcan	sub-CC520065	13097	975	2734	9144	3196	2320	1031	250
dset-camcan	sub-CC520078	13290	964	2895	9422	3193	2176	1107	274
dset-camcan	sub-CC520083	9145	703	1930	7373	2246	1140	861	163
dset-camcan	sub-CC520097	11406	847	2501	8613	2984	2134	931	95
dset-camcan	sub-CC520122	10746	824	2515	8906	3084	1960	927	149
dset-camcan	sub-CC520127	11245	957	2220	8402	2862	2233	889	88
dset-camcan	sub-CC520134	11323	771	2388	7865	2674	1691	763	29
dset-camcan	sub-CC520136	10496	797	2546	8089	2473	1634	848	99
dset-camcan	sub-CC520147	11650	848	2304	8056	2983	1954	929	126
dset-camcan	sub-CC520168	11404	924	2518	8906	3214	2347	1009	183
dset-camcan	sub-CC520175	11714	882	2518	9167	3371	2603	882	103
dset-camcan	sub-CC520197	9440	754	2214	7170	2459	1708	742	17
dset-camcan	sub-CC520200	9647	772	2240	6785	2159	1442	638	45
dset-camcan	sub-CC520209	10938	767	2436	7357	2257	1585	854	94
dset-camcan	sub-CC520211	10998	776	2416	8625	3074	1842	1053	254
dset-camcan	sub-CC520215	11818	870	2207	8700	2954	2008	924	216
dset-camcan	sub-CC520239	9846	826	2142	7256	2212	1016	938	201
dset-camcan	sub-CC520247	12102	893	2931	8240	2953	1880	846	200
dset-camcan	sub-CC520253	12293	893	2644	9743	3594	2811	1090	268
dset-camcan	sub-CC520254	9553	691	2231	7385	2224	896	1154	860
dset-camcan	sub-CC520279	9874	919	2393	7434	2126	668	1121	598
dset-camcan	sub-CC520287	10907	741	2183	7777	2556	1557	881	175
dset-camcan	sub-CC520377	9561	759	2299	7735	2473	1667	815	47
dset-camcan	sub-CC520390	10185	753	2233	7327	2253	1353	880	358
dset-camcan	sub-CC520391	10503	830	2616	8297	2718	1660	894	85
dset-camcan	sub-CC520395	10868	774	2447	7721	2532	1742	731	22
dset-camcan	sub-CC520398	10783	727	2011	7309	2520	1491	833	89
dset-camcan	sub-CC520424	12247	913	2555	9503	3571	2620	1044	248
dset-camcan	sub-CC520477	9918	761	2534	8263	2912	1785	1000	273
dset-camcan	sub-CC520480	12394	972	2795	9598	3511	2316	1136	250
dset-camcan	sub-CC520503	12177	865	2616	9662	3639	2659	1120	264
dset-camcan	sub-CC520517	11150	829	2552	8586	3074	1727	1018	180
dset-camcan	sub-CC520552	10850	865	2412	8586	3105	2431	1095	280
dset-camcan	sub-CC520560	9965	818	2066	8579	3148	2014	849	73
dset-camcan	sub-CC520562	12597	929	2805	9509	3850	2865	1082	226
dset-camcan	sub-CC520584	9937	759	2474	7361	2576	1955	772	78
